/home/deborah/Desktop/condition_diffusion/stock_diffusion/model.py:83: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.history_encoder = nn.TransformerEncoder(history_layer, encoder_layers)
step=8620 loss=0.093294 time=0.077729 fft=0.018343
step=8640 loss=0.086047 time=0.071936 fft=0.016630
step=8660 loss=0.082083 time=0.068686 fft=0.015789
step=8680 loss=0.075720 time=0.063675 fft=0.014195
step=8700 loss=0.077623 time=0.064895 fft=0.015000
step=8720 loss=0.081983 time=0.068096 fft=0.016366
step=8740 loss=0.089467 time=0.074840 fft=0.017237
step=8760 loss=0.075991 time=0.063655 fft=0.014538
step=8780 loss=0.077168 time=0.064396 fft=0.015052
step=8800 loss=0.074609 time=0.062485 fft=0.014288
step=8820 loss=0.083696 time=0.069909 fft=0.016248
step=8840 loss=0.086101 time=0.071927 fft=0.016704
step=8860 loss=0.074556 time=0.062679 fft=0.013996
step=8880 loss=0.080379 time=0.067088 fft=0.015663
step=8900 loss=0.087319 time=0.072638 fft=0.017302
step=8920 loss=0.087197 time=0.073003 fft=0.016729
step=8940 loss=0.079318 time=0.066120 fft=0.015554
step=8960 loss=0.082408 time=0.068756 fft=0.016089
step=8980 loss=0.075144 time=0.062650 fft=0.014723
step=9000 loss=0.082282 time=0.069142 fft=0.015487
step=9000 val_loss=0.079696
step=9020 loss=0.084211 time=0.070375 fft=0.016306
step=9040 loss=0.077172 time=0.064212 fft=0.015274
step=9060 loss=0.082919 time=0.069393 fft=0.015940
step=9080 loss=0.076270 time=0.063552 fft=0.014989
step=9100 loss=0.076409 time=0.063789 fft=0.014872
step=9120 loss=0.081520 time=0.068230 fft=0.015662
step=9140 loss=0.083970 time=0.070207 fft=0.016221
step=9160 loss=0.082368 time=0.068749 fft=0.016051
step=9180 loss=0.084013 time=0.070084 fft=0.016415
step=9200 loss=0.073078 time=0.060869 fft=0.014389
step=9220 loss=0.079235 time=0.066214 fft=0.015345
step=9240 loss=0.083278 time=0.070036 fft=0.015606
step=9260 loss=0.084152 time=0.070288 fft=0.016340
step=9280 loss=0.082515 time=0.069170 fft=0.015728
step=9300 loss=0.075475 time=0.063257 fft=0.014399
step=9320 loss=0.085128 time=0.071429 fft=0.016145
